-5,000000, NaN
-4,900000, NaN
-4,800000, NaN
-4,700000, NaN
-4,600000, NaN
-4,500000, NaN
-4,400000, NaN
-4,300000, NaN
-4,200000, NaN
-4,100000, NaN
-4,000000, NaN
-3,900000, NaN
-3,800000, NaN
-3,700000, NaN
-3,600000, NaN
-3,500000, NaN
-3,400000, NaN
-3,300000, NaN
-3,200000, NaN
-3,100000, NaN
-3,000000, NaN
-2,900000, NaN
-2,800000, NaN
-2,700000, NaN
-2,600000, NaN
-2,500000, NaN
-2,400000, NaN
-2,300000, NaN
-2,200000, NaN
-2,100000, NaN
-2,000000, NaN
-1,900000, NaN
-1,800000, NaN
-1,700000, NaN
-1,600000, NaN
-1,500000, NaN
-1,400000, NaN
-1,300000, NaN
-1,200000, NaN
-1,100000, NaN
-1,000000, NaN
-0,900000, NaN
-0,800000, NaN
-0,700000, NaN
-0,600000, NaN
-0,500000, NaN
-0,400000, NaN
-0,300000, NaN
-0,200000, NaN
-0,100000, NaN
